,source,target,total_freq,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24
330,63.0,56.0,3,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3
331,64.0,32.0,2,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2
332,64.0,43.0,43,0,0,1,2,2,7,14,14,28,39,39,43,43,43,43,43,43,43,43,43
333,64.0,44.0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
334,66.0,9.0,7,0,0,0,0,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7
335,66.0,35.0,7,0,0,3,3,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
336,67.0,3.0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
337,67.0,6.0,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
338,67.0,15.0,26,0,0,0,1,1,1,1,1,2,2,2,2,2,2,3,15,15,15,23,24
339,67.0,18.0,7,0,0,0,3,3,3,5,5,5,5,5,5,5,5,6,6,6,6,7,7
340,67.0,21.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
341,67.0,28.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
342,67.0,44.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
343,67.0,47.0,3,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3
344,67.0,50.0,3,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,3,3,3
345,67.0,51.0,29,0,0,0,3,14,16,16,20,23,23,23,29,29,29,29,29,29,29,29,29
346,67.0,74.0,7,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7
347,67.0,77.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4
348,68.0,6.0,3,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
349,68.0,29.0,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,5,5,5,5
350,68.0,32.0,46,0,0,1,1,1,1,2,9,12,16,21,25,30,39,43,46,46,46,46,46
351,68.0,36.0,30,0,0,7,8,8,14,17,28,29,30,30,30,30,30,30,30,30,30,30,30
352,68.0,40.0,6,0,0,1,1,1,1,1,2,2,3,3,3,3,3,5,5,6,6,6,6
353,68.0,47.0,80,0,0,0,0,2,2,2,22,22,22,24,30,37,61,65,69,79,80,80,80
354,68.0,54.0,11,0,0,3,4,4,4,4,4,4,6,6,6,6,6,8,8,11,11,11,11
355,68.0,62.0,6,0,0,0,2,2,2,2,2,3,6,6,6,6,6,6,6,6,6,6,6
356,68.0,75.0,17,0,0,0,0,0,0,0,0,0,0,3,3,4,5,6,7,14,17,17,17
357,69.0,9.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
358,69.0,35.0,14,0,6,10,11,12,12,13,13,13,13,13,13,13,14,14,14,14,14,14,14
359,69.0,52.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
360,70.0,8.0,46,0,3,14,16,20,20,22,26,35,42,42,43,43,43,43,43,43,46,46,46
361,70.0,43.0,11,0,5,5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
